# Completeness = 5063 / 10000
RA	Dec	magnitude
314.568111	22.325887	4.799526
315.874058	23.996209	4.915763
312.213378	22.994131	5.289366
316.598052	26.924275	5.859046
321.141933	26.174584	5.585765
316.626037	31.184634	5.651271
322.035082	32.225685	5.682198
317.162167	30.205544	5.718819
320.675440	30.309919	5.799632
305.965335	32.190135	3.972559
310.260609	32.307239	5.375370
309.747844	30.333980	5.380294
312.867677	28.250482	5.499797
309.269545	26.461894	5.580162
316.748479	38.763862	4.766713
313.474436	33.438045	4.869454
316.753663	38.756073	5.450644
315.303577	36.025989	5.763470
315.770263	38.657387	5.850463
312.300325	35.563434	5.856268
335.250313	26.935125	5.293800
337.292740	26.763179	5.431441
333.033772	24.950653	5.440001
334.446931	26.936488	5.943967
345.386354	32.612998	5.605577
340.380704	30.965869	5.700379
342.268939	27.358020	6.085822
335.330667	28.330553	4.769057
327.461321	30.174095	5.060544
332.306489	33.172029	5.309195
331.297370	26.673824	5.353491
328.124353	28.793268	5.393223
336.942994	31.840175	5.482438
337.507726	32.572577	5.623025
338.967834	39.634307	5.679723
339.893123	37.592824	5.796873
339.202797	35.652415	5.812391
350.478944	31.812431	5.423769
350.222667	38.182062	5.653559
343.935548	36.351394	5.718545
349.968683	42.078098	5.219237
351.036887	41.612862	5.248243
353.694816	38.024053	5.534423
353.656296	40.236233	5.546851
358.889409	47.355772	5.693960
351.781363	42.912086	5.738770
345.651929	42.757796	5.012317
340.369361	40.225427	5.210194
341.021772	39.465222	5.410152
343.529718	40.377031	5.503276
342.487117	41.051210	5.519355
342.045735	37.416411	5.541899
344.098448	41.603855	5.563773
340.023960	40.670049	5.630435
349.874348	48.625557	5.163304
354.784596	50.471724	5.331331
353.235648	46.123676	5.604608
352.531084	49.133159	5.690173
358.840701	48.638206	5.721973
325.504536	35.510207	4.749351
325.817998	38.017468	5.485532
327.034845	36.580362	5.601182
331.425410	35.348459	5.674892
325.857079	38.283572	5.704111
333.455635	45.440630	5.527112
333.685139	42.953805	5.710130
330.735956	44.649718	5.712503
320.702376	40.932437	4.655952
322.362570	46.541049	4.963202
324.237390	40.413576	4.979593
319.613305	43.945906	4.992317
321.839037	37.116805	5.266481
321.332677	46.714555	5.502326
325.534802	45.765607	4.570554
325.523621	51.189612	4.642398
331.318554	46.744743	4.979425
330.460854	52.882260	5.760108
332.067858	49.796964	5.804595
344.108322	49.733532	4.216367
346.046909	50.052836	4.337494
337.621905	43.123352	4.477451
335.256589	46.536578	4.537015
344.268821	48.684044	5.066830
342.033736	49.582680	5.740999
344.792893	52.654672	5.804621
356.758021	57.451327	4.905138
359.752313	55.754910	4.983272
349.177099	53.212423	5.446386
359.285135	55.705651	5.449310
346.940131	49.296361	5.567371
351.400371	52.979404	5.695349
354.755942	52.262456	5.744387
342.443633	55.902945	5.064219
332.792225	50.823574	5.352735
338.420004	56.624922	5.470335
340.586682	53.908711	5.511809
335.779201	55.963216	5.585438
336.264415	51.255987	5.680634
340.076742	53.845843	5.686603
341.204612	52.517242	5.826960
350.635612	60.133481	4.902360
345.021231	56.945365	4.999452
348.337734	57.169666	5.231896
357.209015	62.214508	5.293167
343.265879	60.101046	5.315257
349.849028	62.739767	5.377756
355.587435	64.515375	5.502545
290.712028	26.262362	5.165268
295.928908	25.771988	5.253212
289.882930	22.570719	5.278503
289.431819	23.025510	5.445910
292.237890	24.768757	5.561242
292.840144	26.617283	5.647756
296.952588	25.383962	5.732276
293.712278	29.463032	5.214047
298.006642	24.992142	5.307211
301.150707	32.218549	5.443769
299.658453	30.983669	5.482231
300.909357	29.894468	5.552787
