# Completeness = 8372 / 10000
RA	Dec	magnitude
76.365384	-22.371368	2.653493
80.112228	-21.239802	4.713410
83.182585	-17.822282	2.553513
82.061318	-20.759816	2.627176
70.110580	-19.671908	3.308113
72.548613	-16.216927	4.769715
78.233127	-16.205535	3.291787
77.845442	-11.848831	3.634043
79.893857	-13.176791	4.218469
78.074736	-11.869274	4.403952
86.738857	-14.821954	3.541044
89.101033	-14.167081	3.635856
91.538771	-14.935197	4.636281
97.204431	-7.033073	4.539529
100.485087	-9.167735	4.574318
97.846236	-12.392091	4.777309
83.858263	-5.909896	2.740842
80.986718	-7.808257	3.875156
82.982747	-7.301559	4.546215
93.713863	-6.274860	3.570886
90.014005	-3.074586	4.124239
92.965879	-6.550287	5.008503
90.445556	-2.353797	5.060238
113.449829	-14.523886	3.896420
115.096700	-15.264043	4.385929
116.486907	-14.563779	4.935122
115.311462	-9.551221	3.660842
116.509347	-6.772932	5.016689
117.544069	-9.183442	5.156718
108.279969	-11.251309	5.216747
108.564641	-9.947522	5.409335
107.557004	-4.236140	4.632417
114.319245	-4.110906	5.014442
126.414835	-3.906531	3.902255
122.148456	-2.983801	4.109110
119.933732	-3.679598	4.560082
129.689237	3.341364	4.107481
130.806063	3.398658	4.267924
126.397964	2.102166	5.164180
120.566278	2.335041	3.972009
120.305857	-1.392942	4.112860
124.128632	9.185324	3.000183
101.905066	-8.998497	4.173226
105.484865	-5.722033	4.417954
105.728221	-4.239222	4.924080
96.989850	-4.762159	5.007534
107.966081	-0.492743	4.140848
108.583575	3.111408	5.008996
94.998290	-2.944486	4.134867
96.807348	0.299204	4.879373
98.408011	-1.220232	5.048101
101.965123	2.412106	4.171695
101.832516	8.037203	4.293932
95.941955	4.592917	4.362506
112.040530	8.925574	3.776754
112.008631	6.941777	5.180653
113.024777	1.914476	5.189567
116.567368	10.768139	5.224513
105.908622	10.951767	4.672274
108.914393	7.977756	4.674316
111.412061	9.276053	4.723000
109.523032	16.540226	3.579925
112.449093	12.006478	4.158181
115.513401	14.208462	4.508947
69.544734	-14.304709	3.601026
77.286608	-8.754094	4.243453
73.223539	-5.452585	4.281291
62.966459	-6.837216	3.973952
63.807953	-7.668078	4.179894
69.079762	-3.352481	3.913929
68.548349	-8.231333	4.292685
69.400748	-2.473833	5.141171
76.962001	-5.086810	2.777715
79.401547	-6.844450	3.588380
81.119237	-2.397152	3.615370
82.433262	-1.092352	4.052642
84.796440	4.121471	4.466577
